Numeric code;Label
1;Alexandra Ext 14
294;Alexandra Ext 20
295;Alexandra Ext 21
296;Alexandra Ext 31
297;Alexandra Ext 53
298;Alexandra Ext 66
299;Alexandra Ext 68
300;Bram Fischerville
301;Bram Fischerville Ext 1
302;Bram Fischerville Ext 12
303;Bram Fischerville Ext 8
304;Claremont
305;Cosmo City
306;Devland
307;Diepkloof Zone 5
308;Diepkloof Zone 6
309;Diepsloot SP
310;Diepsloot West
311;Diepsloot West 1
312;Diepsloot West 2
313;Diepsloot West Reception
314;Dobsonville
315;Doornkop 2
316;Doornkop AH
317;Drie Ziek Ext 1
318;Drie Ziek Ext 3
319;Drie Ziek Ext 7
320;Dube
321;Ebony Park Ext 3
322;Eldorado Park
323;Emdeni
324;Ennerdale South
325;Finetown
326;Freedom Park
327;Hospital Hill
328;Itsoseng SP
329;Ivory Park Ext 10
330;Ivory Park Ext 7
331;Ivory Park Ext 8
332;Ivory Park Ext 9
333;Jabavu
334;Jabulani
335;Jeppestown
336;Johannesburg SP
337;Kanana Park SP
338;Klipfontein View
339;Klipspruit
340;Klipspruit Treatment Works
341;Klipspruit West
342;Lakeside Ext 2
343;Lakeside Ext 5
344;Lawley Ext 2
345;Lehae SP
346;Leratong Village
347;Mapetla
348;Matholesville
349;Meadowlands East Zone 2
350;Meadowlands West Zone 10
351;Molapo
352;Moletsane
353;Naledi Ext 1
354;Naledi Ext 2
355;Newclare
356;Orange Farm Ext 1
357;Orange Farm Ext 2
358;Orange Farm Ext 3
359;Orange Farm Ext 6
360;Orange Farm Ext 8
361;Orlando East
362;Orlando West
363;Pimville Zone 6
364;Pimville Zone 7
365;Poortjie SP
366;Princess
367;Rabie Ridge Ext 4
368;Rabie Ridge SP
369;Randjesfontein AH
370;Senaoane
371;Slovoville
372;Sol Plaatjie
373;Stretford Ext 10
374;Stretford Ext 6
375;Stretford Ext 7
376;Stretford Ext 8
377;Stretford Ext 9
378;Sundowner
379;Sweetwaters
380;Thembalihle
381;Thulani
382;Tladi
383;Vlakfontein SP
384;Vrededorp
385;Westbury
386;Zandspruit SP
387;Zondi
388;Other (need to post-fix)
